claim_id,domain,proposed_claim,rejected_claim,exact_construct_observed,analytical_unit,source_datasets,relevant_cohort,study_design,methods_actually_used,key_evidence_result,robustness_evidence,missingness_coverage,uncertainty,main_bias_risks,ecological_temporal_limitation,support_category,confidence_in_category,permitted_wording,prohibited_wording,additional_data_needed,linked_table_figure,source_lineage,construct_evidence_link,construct_evidence_token,metadata_assignment_method,primary_claim_domain,analytical_evidence_role,claim_evidence_disposition,rejected_claim_evidence_disposition
B04,Access and patient experience,Profiles differ in overall practice experience.,,Overall practice experience rated good,GP practice,GP Patient Survey 2026 practice estimates linked to frozen profiles,"6,066 practices with a valid measure",Cross-sectional practice-level descriptive comparison and unadjusted OLS with HC3 uncertainty,Kruskal-Wallis effect-size description; unadjusted OLS HC3; prespecified sensitivities,Overall-experience differences were small in rank-based effect-size terms.,Base-at-least-30 and context-adjusted sensitivities were run; inverse-variance WLS is diagnostic-only.,Measure-specific validity and evaluated-base restrictions are retained.,HC3 confidence intervals for primary contrasts; bootstrap intervals for medians; multiplicity-adjusted p-values.,"Survey non-response, residual confounding and differing observation windows.",Practice-level association does not establish patient-level experience change or causality.,ASSOCIATIVELY_EXAMINABLE,HIGH,Profiles were associated with differences in practice-level overall-experience estimates.,The profile caused better or worse patient experience.,Longitudinal patient-level linkage and a causal design are required for improvement claims.,external_interpretation/06_external_profile_analysis/numeric_profile_descriptive_summary.csv; external_interpretation/06_external_profile_analysis/gpps_unadjusted_models.csv; external_interpretation/06_external_profile_analysis/gpps_adjusted_sensitivity_models.csv; external_interpretation/06_external_profile_analysis/gpps_base30_sensitivity_models.csv; external_interpretation/06_external_profile_analysis/closure_repair/gpps_primary_outcomes_by_profile_revised.png,GPPS practice estimates → validity contract → profile summaries and HC3 contrasts.,external_interpretation/06_external_profile_analysis/numeric_profile_descriptive_summary.csv,gpps_overall_practice_experience_good_pct,EXPLICIT_CLAIM_SPECIFIC,PATIENT_EXPERIENCE,EXTERNAL_OUTCOME,SUPPORTED_WITH_STATED_BOUNDARY,NOT_APPLICABLE
B05,Access and patient experience,Profiles differ in contact experience.,,Experience of contacting the practice rated good,GP practice,GP Patient Survey 2026 practice estimates linked to frozen profiles,"6,066 practices with a valid measure",Cross-sectional practice-level descriptive comparison and unadjusted OLS with HC3 uncertainty,Kruskal-Wallis effect-size description; unadjusted OLS HC3; prespecified sensitivities,Contact-experience differences were small in rank-based effect-size terms.,Base-at-least-30 and context-adjusted sensitivities were run; inverse-variance WLS is diagnostic-only.,Measure-specific validity and evaluated-base restrictions are retained.,HC3 confidence intervals for primary contrasts; bootstrap intervals for medians; multiplicity-adjusted p-values.,"Survey non-response, residual confounding and differing observation windows.",Practice-level association does not establish patient-level experience change or causality.,ASSOCIATIVELY_EXAMINABLE,HIGH,Profiles were associated with differences in practice-level contact-experience estimates.,The profile caused better or worse patient experience.,Longitudinal patient-level linkage and a causal design are required for improvement claims.,external_interpretation/06_external_profile_analysis/numeric_profile_descriptive_summary.csv; external_interpretation/06_external_profile_analysis/gpps_unadjusted_models.csv; external_interpretation/06_external_profile_analysis/gpps_adjusted_sensitivity_models.csv; external_interpretation/06_external_profile_analysis/gpps_base30_sensitivity_models.csv; external_interpretation/06_external_profile_analysis/closure_repair/gpps_primary_outcomes_by_profile_revised.png,GPPS practice estimates → validity contract → profile summaries and HC3 contrasts.,external_interpretation/06_external_profile_analysis/numeric_profile_descriptive_summary.csv,gpps_contact_experience_good_pct,EXPLICIT_CLAIM_SPECIFIC,PATIENT_EXPERIENCE,EXTERNAL_OUTCOME,SUPPORTED_WITH_STATED_BOUNDARY,NOT_APPLICABLE
B06,Access and patient experience,Profiles differ in continuity fulfilment.,,"Preferred-professional continuity fulfilled, interpreted with Q6 preferred-professional prevalence as descriptive context",GP practice,GP Patient Survey 2026 practice estimates linked to frozen profiles,"6,054 practices with a valid measure",Cross-sectional practice-level descriptive comparison and unadjusted OLS with HC3 uncertainty,Kruskal-Wallis effect-size description; unadjusted OLS HC3; prespecified sensitivities,Continuity-fulfilment differences were small and Q6 prevalence was retained as context only.,Base-at-least-30 and context-adjusted sensitivities were run; inverse-variance WLS is diagnostic-only.,Measure-specific validity and evaluated-base restrictions are retained.,HC3 confidence intervals for primary contrasts; bootstrap intervals for medians; multiplicity-adjusted p-values.,"Survey non-response, residual confounding and differing observation windows.",Practice-level association does not establish patient-level experience change or causality.,ASSOCIATIVELY_EXAMINABLE,HIGH,Profiles were associated with differences in practice-level continuity fulfilment; Q6 prevalence is descriptive context.,The profile caused better or worse patient experience.,Longitudinal patient-level linkage and a causal design are required for improvement claims.,external_interpretation/06_external_profile_analysis/numeric_profile_descriptive_summary.csv; external_interpretation/06_external_profile_analysis/gpps_unadjusted_models.csv; external_interpretation/06_external_profile_analysis/gpps_adjusted_sensitivity_models.csv; external_interpretation/06_external_profile_analysis/gpps_base30_sensitivity_models.csv; external_interpretation/06_external_profile_analysis/closure_repair/gpps_primary_outcomes_by_profile_revised.png; external_interpretation/06_external_profile_analysis/closure_repair/gpps_required_descriptive_context_by_profile.csv,GPPS practice estimates → validity contract → profile summaries and HC3 contrasts.,external_interpretation/06_external_profile_analysis/numeric_profile_descriptive_summary.csv,gpps_preferred_professional_continuity_fulfilled_pct,EXPLICIT_CLAIM_SPECIFIC,PATIENT_EXPERIENCE,EXTERNAL_OUTCOME,SUPPORTED_WITH_STATED_BOUNDARY,NOT_APPLICABLE
B07,Access and patient experience,Profiles differ in next-step clarity.,,Reported clarity about the next step,GP practice,GP Patient Survey 2026 practice estimates linked to frozen profiles,"6,066 practices with a valid measure",Cross-sectional practice-level descriptive comparison and unadjusted OLS with HC3 uncertainty,Kruskal-Wallis effect-size description; unadjusted OLS HC3; prespecified sensitivities,Next-step-clarity differences were small in rank-based effect-size terms.,Base-at-least-30 and context-adjusted sensitivities were run; inverse-variance WLS is diagnostic-only.,Measure-specific validity and evaluated-base restrictions are retained.,HC3 confidence intervals for primary contrasts; bootstrap intervals for medians; multiplicity-adjusted p-values.,"Survey non-response, residual confounding and differing observation windows.",Practice-level association does not establish patient-level experience change or causality.,ASSOCIATIVELY_EXAMINABLE,HIGH,Profiles were associated with differences in practice-level next-step clarity.,The profile caused better or worse patient experience.,Longitudinal patient-level linkage and a causal design are required for improvement claims.,external_interpretation/06_external_profile_analysis/numeric_profile_descriptive_summary.csv; external_interpretation/06_external_profile_analysis/gpps_unadjusted_models.csv; external_interpretation/06_external_profile_analysis/gpps_adjusted_sensitivity_models.csv; external_interpretation/06_external_profile_analysis/gpps_base30_sensitivity_models.csv; external_interpretation/06_external_profile_analysis/closure_repair/gpps_primary_outcomes_by_profile_revised.png,GPPS practice estimates → validity contract → profile summaries and HC3 contrasts.,external_interpretation/06_external_profile_analysis/numeric_profile_descriptive_summary.csv,gpps_next_step_clarity_pct,EXPLICIT_CLAIM_SPECIFIC,PATIENT_EXPERIENCE,EXTERNAL_OUTCOME,SUPPORTED_WITH_STATED_BOUNDARY,NOT_APPLICABLE
B08,Access and patient experience,Profiles differ in long-term-condition support.,,Long-term-condition support rated good,GP practice,GP Patient Survey 2026 practice estimates linked to frozen profiles,"6,065 practices with a valid measure",Cross-sectional practice-level descriptive comparison and unadjusted OLS with HC3 uncertainty,Kruskal-Wallis effect-size description; unadjusted OLS HC3; prespecified sensitivities,Long-term-condition-support differences were small in rank-based effect-size terms.,Base-at-least-30 and context-adjusted sensitivities were run; inverse-variance WLS is diagnostic-only.,Measure-specific validity and evaluated-base restrictions are retained.,HC3 confidence intervals for primary contrasts; bootstrap intervals for medians; multiplicity-adjusted p-values.,"Survey non-response, residual confounding and differing observation windows.",Practice-level association does not establish patient-level experience change or causality.,ASSOCIATIVELY_EXAMINABLE,HIGH,Profiles were associated with differences in practice-level long-term-condition support.,The profile caused better or worse patient experience.,Longitudinal patient-level linkage and a causal design are required for improvement claims.,external_interpretation/06_external_profile_analysis/numeric_profile_descriptive_summary.csv; external_interpretation/06_external_profile_analysis/gpps_unadjusted_models.csv; external_interpretation/06_external_profile_analysis/gpps_adjusted_sensitivity_models.csv; external_interpretation/06_external_profile_analysis/gpps_base30_sensitivity_models.csv; external_interpretation/06_external_profile_analysis/closure_repair/gpps_primary_outcomes_by_profile_revised.png,GPPS practice estimates → validity contract → profile summaries and HC3 contrasts.,external_interpretation/06_external_profile_analysis/numeric_profile_descriptive_summary.csv,gpps_long_term_condition_support_good_pct,EXPLICIT_CLAIM_SPECIFIC,PATIENT_EXPERIENCE,EXTERNAL_OUTCOME,SUPPORTED_WITH_STATED_BOUNDARY,NOT_APPLICABLE
B09,Access and patient experience,Unable-to-contact prevalence provides descriptive contact context.,,Practice-level percentage reporting inability to contact the practice.,GP practice,GP Patient Survey 2026,"6,066 practices with valid unable-to-contact context",Descriptive-only practice-level summary,Descriptive medians and bootstrap intervals only,Profile-specific medians and bootstrap intervals were reported without a formal profile test.,Evaluated-base diagnostics and suppression-status distributions were retained.,Two practices were unavailable overall; interval-coded small positives were preserved.,Bootstrap median confidence intervals; no HC3 or WLS model was used.,Survey non-response and interval-coded small percentages.,Descriptive practice context does not identify unmet need or failed individual access.,DESCRIPTIVELY_SUPPORTED,HIGH,Unable-to-contact prevalence provides bounded descriptive context.,Unable-to-contact prevalence measures total unmet need.,Patient-level contact-attempt and outcome linkage is needed for unmet-need claims.,external_interpretation/06_external_profile_analysis/closure_repair/gpps_required_descriptive_context_by_profile.csv; external_interpretation/06_external_profile_analysis/external_analysis_cohort_manifest_corrected.csv,GPPS unable-to-contact estimate → validity rule → descriptive profile summary.,external_interpretation/06_external_profile_analysis/closure_repair/gpps_required_descriptive_context_by_profile.csv,Unable to contact the GP practice,EXPLICIT_CLAIM_SPECIFIC,PATIENT_EXPERIENCE,CONTEXT,SUPPORTED_WITH_STATED_BOUNDARY,NOT_APPLICABLE
B10,Access and patient experience,Q18 describes reported pre-appointment actions.,,Any/none and eight overlapping reported actions before trying to obtain an appointment.,GP practice,GP Patient Survey 2026 Q18,"6,065 primary-valid practices; 6,063 base-at-least-30 sensitivity records",Exploratory descriptive-only practice-level summary,"Descriptive medians, bootstrap intervals and complement validation only",Ten Q18 measures were summarised across three profiles; overlapping options were not summed.,Any/none complement reconciled exactly and official component definitions were retained.,Two practices were missing; interval-coded small positives were preserved.,"Bootstrap median intervals; no HC3, WLS or formal profile test was used.","Multiple-response overlap, survey non-response and interpretation of prior actions.","Actions do not establish unmet need, success, failure, avoidance or resolution.",DESCRIPTIVELY_SUPPORTED,HIGH,Q18 describes reported actions before trying to obtain an appointment.,Q18 actions measure unmet need or resolved demand.,"Patient-level reasons, outcomes and subsequent care are needed for stronger interpretation.",external_interpretation/06_external_profile_analysis/closure_repair/gpps_q18_exploratory_profile_summary.csv; external_interpretation/06_external_profile_analysis/closure_repair/gpps_q18_component_definition_map.csv; external_interpretation/06_external_profile_analysis/closure_repair/gpps_q18_exploratory_figure.png,GPPS Q18 components → complement audit → descriptive profile summary.,external_interpretation/06_external_profile_analysis/closure_repair/gpps_q18_exploratory_profile_summary.csv,EXPLORATORY_Q18_DESCRIPTIVE_ONLY,EXPLICIT_CLAIM_SPECIFIC,PATIENT_EXPERIENCE,CONTEXT,SUPPORTED_WITH_STATED_BOUNDARY,NOT_APPLICABLE
C01,Context,Profiles differ by registered-list size.,,Registered list size,GP practice,"Registered population, workforce, IMD 2025 and rurality context as applicable","6,067 descriptively; 5,774 in the complete primary MNLogit cohort",Cross-sectional profile comparison plus robust-covariance multinomial logistic association,Kruskal-Wallis/Dunn effect sizes; robust-covariance MNLogit and average marginal effects,Log registered list size was included in the primary MNLogit model.,Five prespecified MNLogit sensitivities retained 10/10 coefficient directions with stated cohort and separation qualifications.,Construct-specific source coverage is reported; three unknown-supplier practices were excluded in Sensitivity E.,Rank effect sizes with bootstrap intervals; robust MNLogit standard errors and marginal-effect confidence intervals.,"Residual confounding, measurement timing differences and model specification.",Practice-level ecological association is not an individual-level or causal effect.,ASSOCIATIVELY_EXAMINABLE,HIGH,Registered-list size was associated with profile membership.,The contextual characteristic caused profile membership or individual access outcomes.,Longitudinal multilevel or quasi-experimental data are required for causal interpretation.,external_interpretation/06_external_profile_analysis/numeric_profile_descriptive_summary.csv; external_interpretation/06_external_profile_analysis/numeric_profile_omnibus_tests.csv; external_interpretation/08_evidence_readiness/prestart_repair/context_multinomial_model_marginal_effects_corrected.csv; external_interpretation/06_external_profile_analysis/closure_repair/primary_context_effect_sizes_revised.png,External context master → validity contract → descriptive tests and primary MNLogit.,external_interpretation/06_external_profile_analysis/numeric_profile_descriptive_summary.csv,registered_list_size_20260301,EXPLICIT_CLAIM_SPECIFIC,ACCESS,CONTEXT,SUPPORTED_WITH_STATED_BOUNDARY,NOT_APPLICABLE
C02,Context,Profiles differ by age composition.,,Registered population aged 65 years and over,GP practice,"Registered population, workforce, IMD 2025 and rurality context as applicable","6,067 descriptively; 5,774 in the complete primary MNLogit cohort",Cross-sectional profile comparison plus robust-covariance multinomial logistic association,Kruskal-Wallis/Dunn effect sizes; robust-covariance MNLogit and average marginal effects,Age composition showed a large omnibus rank effect and was included in MNLogit.,Five prespecified MNLogit sensitivities retained 10/10 coefficient directions with stated cohort and separation qualifications.,Construct-specific source coverage is reported; three unknown-supplier practices were excluded in Sensitivity E.,Rank effect sizes with bootstrap intervals; robust MNLogit standard errors and marginal-effect confidence intervals.,"Residual confounding, measurement timing differences and model specification.",Practice-level ecological association is not an individual-level or causal effect.,ASSOCIATIVELY_EXAMINABLE,HIGH,Registered age composition was associated with profile membership.,The contextual characteristic caused profile membership or individual access outcomes.,Longitudinal multilevel or quasi-experimental data are required for causal interpretation.,external_interpretation/06_external_profile_analysis/numeric_profile_descriptive_summary.csv; external_interpretation/06_external_profile_analysis/numeric_profile_omnibus_tests.csv; external_interpretation/08_evidence_readiness/prestart_repair/context_multinomial_model_marginal_effects_corrected.csv; external_interpretation/06_external_profile_analysis/closure_repair/primary_context_effect_sizes_revised.png,External context master → validity contract → descriptive tests and primary MNLogit.,external_interpretation/06_external_profile_analysis/numeric_profile_descriptive_summary.csv,registered_population_age_65_plus_pct,EXPLICIT_CLAIM_SPECIFIC,EQUITY,CONTEXT,SUPPORTED_WITH_STATED_BOUNDARY,NOT_APPLICABLE
C03,Context,Profiles differ by GP workforce capacity.,,"Fully qualified GP FTE per 10,000 registered patients",GP practice,"Registered population, workforce, IMD 2025 and rurality context as applicable","5,801 descriptively; 5,774 in the complete primary MNLogit cohort",Cross-sectional profile comparison plus robust-covariance multinomial logistic association,Kruskal-Wallis/Dunn effect sizes; robust-covariance MNLogit and average marginal effects,GP workforce capacity was included in the primary MNLogit model.,Five prespecified MNLogit sensitivities retained 10/10 coefficient directions with stated cohort and separation qualifications.,Construct-specific source coverage is reported; three unknown-supplier practices were excluded in Sensitivity E.,Rank effect sizes with bootstrap intervals; robust MNLogit standard errors and marginal-effect confidence intervals.,"Residual confounding, measurement timing differences and model specification.",Practice-level ecological association is not an individual-level or causal effect.,ASSOCIATIVELY_EXAMINABLE,HIGH,GP workforce capacity was associated with profile membership.,The contextual characteristic caused profile membership or individual access outcomes.,Longitudinal multilevel or quasi-experimental data are required for causal interpretation.,external_interpretation/06_external_profile_analysis/numeric_profile_descriptive_summary.csv; external_interpretation/06_external_profile_analysis/numeric_profile_omnibus_tests.csv; external_interpretation/08_evidence_readiness/prestart_repair/context_multinomial_model_marginal_effects_corrected.csv; external_interpretation/06_external_profile_analysis/closure_repair/primary_context_effect_sizes_revised.png,External context master → validity contract → descriptive tests and primary MNLogit.,external_interpretation/06_external_profile_analysis/numeric_profile_descriptive_summary.csv,fully_qualified_gp_fte_per_10000,EXPLICIT_CLAIM_SPECIFIC,WORKLOAD,CONTEXT,SUPPORTED_WITH_STATED_BOUNDARY,NOT_APPLICABLE
C04,Context,Profiles differ by non-GP workforce.,,"Direct patient care, nurse and other non-GP workforce capacity measures.",GP practice,NHS workforce context,"Nurse 5,615; direct patient care 5,265; administrative/non-clinical 5,711",Cross-sectional descriptive profile comparison and rank-based omnibus tests,Kruskal-Wallis/Dunn effect sizes and bootstrap descriptive intervals,Non-GP workforce measures were described and tested separately; they were not primary MNLogit predictors.,Bootstrap descriptive intervals and workforce coverage checks were retained.,Workforce source coverage varied by measure and was not zero-filled.,"Rank effect sizes and bootstrap intervals; no HC3, WLS or MNLogit claim for non-GP workforce.","Workforce coding, vacancies, service configuration and timing differences.",Practice-level staffing context does not establish workload or causal access effects.,ASSOCIATIVELY_EXAMINABLE,HIGH,Non-GP workforce capacity differed across profiles in descriptive practice-level comparisons.,Non-GP workforce caused profile membership or reduced workload.,"Longitudinal staffing, workload and activity linkage would support mechanism testing.",external_interpretation/06_external_profile_analysis/numeric_profile_descriptive_summary.csv; external_interpretation/06_external_profile_analysis/numeric_profile_omnibus_tests.csv; external_interpretation/06_external_profile_analysis/closure_repair/workforce_context_by_profile_revised.png,Workforce source → integrated master → descriptive profile comparisons.,external_interpretation/06_external_profile_analysis/numeric_profile_descriptive_summary.csv,direct_patient_care_fte_per_10000,EXPLICIT_CLAIM_SPECIFIC,WORKLOAD,CONTEXT,SUPPORTED_WITH_STATED_BOUNDARY,NOT_APPLICABLE
C05,Context,Profiles differ by deprivation.,,Patient-weighted average IMD 2025 score,GP practice,"Registered population, workforce, IMD 2025 and rurality context as applicable","6,035 descriptively; 5,774 in the complete primary MNLogit cohort",Cross-sectional profile comparison plus robust-covariance multinomial logistic association,Kruskal-Wallis/Dunn effect sizes; robust-covariance MNLogit and average marginal effects,Deprivation was included in the primary MNLogit model.,Five prespecified MNLogit sensitivities retained 10/10 coefficient directions with stated cohort and separation qualifications.,Construct-specific source coverage is reported; three unknown-supplier practices were excluded in Sensitivity E.,Rank effect sizes with bootstrap intervals; robust MNLogit standard errors and marginal-effect confidence intervals.,"Residual confounding, measurement timing differences and model specification.",Practice-level ecological association is not an individual-level or causal effect.,ASSOCIATIVELY_EXAMINABLE,HIGH,Patient-weighted average IMD 2025 score was associated with profile membership.,The contextual characteristic caused profile membership or individual access outcomes.,Longitudinal multilevel or quasi-experimental data are required for causal interpretation.,external_interpretation/06_external_profile_analysis/numeric_profile_descriptive_summary.csv; external_interpretation/06_external_profile_analysis/numeric_profile_omnibus_tests.csv; external_interpretation/08_evidence_readiness/prestart_repair/context_multinomial_model_marginal_effects_corrected.csv; external_interpretation/06_external_profile_analysis/closure_repair/primary_context_effect_sizes_revised.png,External context master → validity contract → descriptive tests and primary MNLogit.,external_interpretation/06_external_profile_analysis/numeric_profile_descriptive_summary.csv,patient_weighted_average_imd2025_score,EXPLICIT_CLAIM_SPECIFIC,EQUITY,CONTEXT,SUPPORTED_WITH_STATED_BOUNDARY,NOT_APPLICABLE
C06,Context,Profiles differ by rurality.,,Patient-weighted rural share,GP practice,"Registered population, workforce, IMD 2025 and rurality context as applicable","6,051 descriptively; 5,774 in the complete primary MNLogit cohort",Cross-sectional profile comparison plus robust-covariance multinomial logistic association,Kruskal-Wallis/Dunn effect sizes; robust-covariance MNLogit and average marginal effects,Rurality was included in the primary MNLogit model.,Five prespecified MNLogit sensitivities retained 10/10 coefficient directions with stated cohort and separation qualifications.,Construct-specific source coverage is reported; three unknown-supplier practices were excluded in Sensitivity E.,Rank effect sizes with bootstrap intervals; robust MNLogit standard errors and marginal-effect confidence intervals.,"Residual confounding, measurement timing differences and model specification.",Practice-level ecological association is not an individual-level or causal effect.,ASSOCIATIVELY_EXAMINABLE,HIGH,Patient-weighted rural share was associated with profile membership.,The contextual characteristic caused profile membership or individual access outcomes.,Longitudinal multilevel or quasi-experimental data are required for causal interpretation.,external_interpretation/06_external_profile_analysis/numeric_profile_descriptive_summary.csv; external_interpretation/06_external_profile_analysis/numeric_profile_omnibus_tests.csv; external_interpretation/08_evidence_readiness/prestart_repair/context_multinomial_model_marginal_effects_corrected.csv; external_interpretation/06_external_profile_analysis/closure_repair/primary_context_effect_sizes_revised.png,External context master → validity contract → descriptive tests and primary MNLogit.,external_interpretation/06_external_profile_analysis/numeric_profile_descriptive_summary.csv,registered_patients_rural_pct,EXPLICIT_CLAIM_SPECIFIC,EQUITY,CONTEXT,SUPPORTED_WITH_STATED_BOUNDARY,NOT_APPLICABLE
C07,Context,Region and ICB profile composition varies.,,Practice profile composition across seven regions and 42 March 2026 reference-period ICBs.,Region/ICB practice composition,Frozen March 2026 organisational geography,"6,067 practices across seven regions and 42 ICBs",Descriptive contingency analysis and publication-safe mapping,"Bias-corrected Cramér’s V, bootstrap interval and fixed-margin permutation",Bias-corrected Cramér’s V was 0.272 for region and 0.332 for ICB.,"ICB inference used 1,000 fixed-margin permutations; eight Profile 1 cells were suppressed for publication.",All practices had reference geography; published cells below five were suppressed.,Bootstrap interval for corrected Cramér’s V and fixed-margin permutation p-value for ICB.,"Practice composition, boundary choice and organisational change.","Maps show practice composition, not patient residence, prevalence or performance.",ASSOCIATIVELY_EXAMINABLE,HIGH,Profile composition varied across the frozen reference-period geographies.,ICBs are ranked or the maps show performance.,Patient-residence geography is needed for population-prevalence interpretation.,external_interpretation/06_external_profile_analysis/closure_repair/geographic_global_association_tests_corrected.csv; external_interpretation/08_evidence_readiness/prestart_repair/icb_profile_composition_map_publication_safe.png; external_interpretation/06_external_profile_analysis/region_profile_composition_publication.csv,Frozen practice geography → region/ICB composition → corrected tests and publication-safe map.,external_interpretation/06_external_profile_analysis/closure_repair/geographic_global_association_tests_corrected.csv,FIXED_MARGIN_PROFILE_PERMUTATION_1000,EXPLICIT_CLAIM_SPECIFIC,EQUITY,CONTEXT,SUPPORTED_WITH_STATED_BOUNDARY,NOT_APPLICABLE
C08,Context,Assignment uncertainty varied descriptively across ICBs.,,ICB composition of practice-level interpretive-caution flags.,ICB practice composition,Frozen profile uncertainty and March 2026 ICB geography,"6,067 practices across 42 ICBs",Descriptive geographic uncertainty summary,Descriptive ICB aggregation only,The ICB-level share carrying interpretive caution was mapped descriptively.,Practice-level caution combines multiple assignment signals and is not used to remove observations.,"All 6,067 practices have a caution flag and reference ICB.",Descriptive shares only; no inferential performance comparison.,Variation in profile geometry and local practice mix.,Geographic patterning does not imply ICB performance or causal context.,DESCRIPTIVELY_SUPPORTED,HIGH,Assignment uncertainty varied descriptively across ICBs.,Assignment uncertainty is geographically patterned or shows spatial clustering.,Additional algorithms and years would improve uncertainty characterisation.,external_interpretation/01_frozen_inputs/national_profiles/national_practice_profile_master_ods_enriched.csv; external_interpretation/06_external_profile_analysis/icb_profile_coverage_uncertainty.csv; external_interpretation/07_geographic_mapping/icb_assignment_uncertainty_map.png,Practice-level caution flag → frozen ICB aggregation → descriptive map.,external_interpretation/06_external_profile_analysis/icb_profile_coverage_uncertainty.csv,interpretive_caution,EXPLICIT_CLAIM_SPECIFIC,ACCESS,ROBUSTNESS,SUPPORTED_WITH_STATED_BOUNDARY,NOT_APPLICABLE
C09,Context,Evidence availability differs across profiles.,,Source-row presence and primary/sensitivity-valid coverage by profile and source family.,GP practice,External context source-availability indicators,"6,067 practices with measure-specific validity",Descriptive availability comparison with source-specific tests,Descriptive coverage and source-specific availability tests,Coverage varies by source and profile; missing evidence was retained as missing rather than zero-filled.,Permutation testing was used where sparse source-availability cells required it.,Availability denominators and missingness-status distributions are explicit.,"Cramér’s V with confidence intervals or no-variation result, depending on source.",Selective source availability can bias contextual comparison.,Evidence availability is not a measure of practice performance.,DESCRIPTIVELY_SUPPORTED,HIGH,External evidence availability differed for some source-profile combinations.,Missing external evidence indicates low activity or poor performance.,More complete source submission would reduce availability bias.,external_interpretation/06_external_profile_analysis/evidence_availability_by_profile.csv; external_interpretation/06_external_profile_analysis/evidence_availability_tests.csv; external_interpretation/06_external_profile_analysis/evidence_availability_by_profile.png,Integrated source-presence indicators → profile availability summaries and tests.,external_interpretation/06_external_profile_analysis/evidence_availability_by_profile.csv,EVIDENCE_AVAILABILITY_NOT_PRACTICE_PERFORMANCE,EXPLICIT_CLAIM_SPECIFIC,ACCESS,DATA_QUALITY,SUPPORTED_WITH_STATED_BOUNDARY,NOT_APPLICABLE
D01,Claims requiring stronger evidence,The sources measure total demand.,,Total patient demand across all routes,Not estimable from current practice-level aggregates,"OCS, GPAD, CBT and external context do not directly measure the required construct",No valid analytical cohort for this construct,Evidence-gap assessment,Evidence-gap assessment only,"The public sources record selected activities, not all demand.",No sensitivity analysis can create an absent construct.,Structurally unavailable in the current public linked evidence.,Not estimable from the current data.,"Construct substitution, ecological inference and unmeasured confounding.",Current practice-level observation windows cannot support the claim.,NOT_SUPPORTABLE_WITH_CURRENT_PUBLIC_DATA,HIGH,The current data do not support the claim: The sources measure total demand.,The sources measure total demand.,linked demand and contact-attempt records,external_interpretation/08_evidence_readiness/writing_authority/unsupported_claim_construct_absence_audit.csv; external_interpretation/08_evidence_readiness/writing_authority/additional_data_requirements_writing_authority.csv,The approved cross-source registry was audited for the required construct or design element; no approved analytical field matched. The additional-data register is downstream guidance only.,external_interpretation/03_source_audits/cross_source_contract_decision_implementation/approved_cross_source_measure_registry.csv,APPROVED_REGISTRY_AUDIT_NO_MATCH:total_demand,EXPLICIT_CLAIM_SPECIFIC,ACCESS,EVIDENCE_GAP,NOT_ESTIMABLE_WITH_CURRENT_PUBLIC_DATA,NOT_APPLICABLE
D02,Claims requiring stronger evidence,The profiles identify unmet need.,,Unmet need,Not estimable from current practice-level aggregates,"OCS, GPAD, CBT and external context do not directly measure the required construct",No valid analytical cohort for this construct,Evidence-gap assessment,Evidence-gap assessment only,No direct unmet-need construct is present.,No sensitivity analysis can create an absent construct.,Structurally unavailable in the current public linked evidence.,Not estimable from the current data.,"Construct substitution, ecological inference and unmeasured confounding.",Current practice-level observation windows cannot support the claim.,NOT_SUPPORTABLE_WITH_CURRENT_PUBLIC_DATA,HIGH,The current data do not support the claim: The profiles identify unmet need.,The profiles identify unmet need.,patient-reported unmet need and outcomes,external_interpretation/08_evidence_readiness/writing_authority/unsupported_claim_construct_absence_audit.csv; external_interpretation/08_evidence_readiness/writing_authority/additional_data_requirements_writing_authority.csv,The approved cross-source registry was audited for the required construct or design element; no approved analytical field matched. The additional-data register is downstream guidance only.,external_interpretation/03_source_audits/cross_source_contract_decision_implementation/approved_cross_source_measure_registry.csv,APPROVED_REGISTRY_AUDIT_NO_MATCH:unmet_need,EXPLICIT_CLAIM_SPECIFIC,ACCESS,EVIDENCE_GAP,NOT_ESTIMABLE_WITH_CURRENT_PUBLIC_DATA,NOT_APPLICABLE
D03,Claims requiring stronger evidence,Digital access reduces workload.,,Change in clinical and administrative workload,Not estimable from current practice-level aggregates,"OCS, GPAD, CBT and external context do not directly measure the required construct",No valid analytical cohort for this construct,Evidence-gap assessment,Evidence-gap assessment only,No workload outcome or causal counterfactual is present.,No sensitivity analysis can create an absent construct.,Structurally unavailable in the current public linked evidence.,Not estimable from the current data.,"Construct substitution, ecological inference and unmeasured confounding.",Current practice-level observation windows cannot support the claim.,NOT_SUPPORTABLE_WITH_CURRENT_PUBLIC_DATA,HIGH,The current data do not support the claim: Digital access reduces workload.,Digital access reduces workload.,longitudinal staff-time and workload measures with a comparator,external_interpretation/08_evidence_readiness/writing_authority/unsupported_claim_construct_absence_audit.csv; external_interpretation/08_evidence_readiness/writing_authority/additional_data_requirements_writing_authority.csv,The approved cross-source registry was audited for the required construct or design element; no approved analytical field matched. The additional-data register is downstream guidance only.,external_interpretation/03_source_audits/cross_source_contract_decision_implementation/approved_cross_source_measure_registry.csv,APPROVED_REGISTRY_AUDIT_NO_MATCH:workload,EXPLICIT_CLAIM_SPECIFIC,WORKLOAD,EVIDENCE_GAP,NOT_ESTIMABLE_WITH_CURRENT_PUBLIC_DATA,NOT_APPLICABLE
